GENDER,DURASI,SENIOR,LEVEL_JOB,RESIGN,DEPT
Male,5,0,5,1,13
Female,7,0,1,1,1
Male,10,0,1,1,8
Female,9,0,1,1,17
Male,3,0,1,1,20
Female,8,0,1,1,22
Female,4,0,3,1,17
Female,9,0,1,1,25
Male,5,0,2,1,13
Male,0,0,1,1,7
Male,9,0,1,1,8
Male,3,0,3,1,17
Male,4,0,3,1,25
Male,7,0,1,1,1
Female,2,0,5,1,7
Female,9,0,1,1,17
Male,11,0,1,1,8
Female,4,0,3,1,17
Female,6,0,3,1,17
Male,8,0,1,1,22
Female,7,0,1,1,1
Female,11,0,1,1,8
Female,8,0,1,1,22
Female,8,0,1,1,22
Male,6,0,4,1,8
Male,3,0,2,1,1
Male,6,0,1,1,17
Male,9,0,1,1,8
Female,10,0,1,1,8
Male,3,0,4,1,22
Male,9,0,1,1,8
Male,11,0,1,1,8
Female,9,0,1,1,8
Female,3,0,1,1,20
Female,9,0,1,1,17
Female,3,0,1,1,3
Male,5,0,5,1,1
Female,6,0,4,1,8
Female,5,0,3,1,37
Male,5,0,4,1,8
Male,11,0,1,1,8
Male,11,0,1,1,8
Female,4,0,3,1,17
Female,2,0,1,1,6
Female,9,0,1,1,8
Female,0,0,5,1,3
Female,2,0,1,1,10
Male,6,0,1,1,17
Female,9,0,1,1,17
Male,6,0,4,1,15
Female,3,0,1,1,10
Male,9,0,1,1,8
Male,6,0,1,1,17
Male,0,0,1,1,7
Male,11,0,1,1,8
Female,0,0,1,1,7
Female,3,0,1,1,20
Female,0,0,1,1,7
Male,1,0,5,1,6
Female,2,0,1,1,10
Female,17,1,1,1,25
Male,25,1,1,1,38
Male,18,1,1,1,8
Male,19,1,1,1,36
Female,31,1,1,1,44
Male,27,1,1,1,23
Female,28,1,3,1,42
Male,13,1,1,1,8
Male,27,1,1,1,23
Male,14,1,1,1,14
Male,31,1,1,1,44
Male,18,1,1,1,36
Female,21,1,4,1,24
Female,28,1,1,1,23
Female,13,1,1,1,8
Male,28,1,1,1,42
Male,21,1,1,1,39
Male,17,1,1,1,25
Male,18,1,1,1,25
Male,35,1,5,1,9
Male,34,1,5,1,32
Male,17,1,1,1,25
Female,14,1,1,1,8
Male,35,1,5,1,11
Male,34,1,5,1,27
Female,28,1,1,1,42
Female,17,1,1,1,25
Male,39,1,2,1,32
Male,32,1,1,1,11
Male,26,1,1,1,38
Male,27,1,1,1,23
Male,26,1,1,1,23
Male,22,1,1,1,36
Male,18,1,1,1,36
Male,22,1,1,1,26
Male,36,1,2,1,32
Female,24,1,1,1,38
Male,37,1,1,1,32
Male,26,1,1,1,23
Male,44,1,2,1,32
Female,3,0,1,0,18
Female,9,0,1,0,34
Male,39,1,1,0,2
Female,5,0,1,0,4
Male,11,0,1,0,46
Female,34,1,3,0,16
Male,12,0,1,0,2
Male,37,1,1,0,2
Male,44,1,2,0,31
Female,27,1,5,0,42
Male,42,1,1,0,18
Female,23,1,1,0,42
Male,27,1,2,0,33
Male,26,1,2,0,35
Female,19,1,2,0,30
Male,7,0,1,0,21
Male,11,0,1,0,18
Female,47,1,1,0,29
Male,7,0,5,0,36
Female,3,0,1,0,38
Male,16,1,5,0,38
Male,3,0,1,0,41
Female,40,1,1,0,33
Female,19,1,1,0,42
Male,46,1,1,0,21
Male,42,1,1,0,28
Male,42,1,5,0,26
Male,29,1,2,0,31
Male,5,0,5,0,44
Female,25,1,1,0,44
Female,21,1,5,0,5
Female,3,0,1,0,18
Male,18,1,1,0,43
Female,11,0,1,0,11
Male,25,1,1,0,21
Male,4,0,1,0,40
Female,42,1,4,0,47
Female,7,0,1,0,12
Male,9,0,4,0,45
Female,40,1,2,0,34
Male,23,1,1,0,21
Female,48,1,1,0,29
Male,13,1,3,0,42
Male,4,0,1,0,9
Male,14,1,3,0,43
Male,11,0,3,0,46
Male,11,0,1,0,19
Female,3,0,1,0,18
Male,42,1,1,0,14
Male,42,1,5,0,41
